Date,TopPt1,RemainingTop1,Next9,Next40,Bottom50
1989:Q3,1756521,2911578,7767076,7288771,712318
1989:Q4,1811550,2973282,7899449,7424933,704946
1990:Q1,1796977,2956588,7883266,7506182,725852
1990:Q2,1841632,3010677,7979569,7616763,704947
1990:Q3,1785135,2948793,7886211,7683337,734596
1990:Q4,1872104,3033504,8019930,7794002,757007
1991:Q1,1957499,3135025,8170046,7928852,766009
1991:Q2,1953624,3146716,8164988,8003495,768752
1991:Q3,1982406,3196998,8224637,8144711,820893
1991:Q4,2091663,3321586,8407023,8292910,840591
1992:Q1,2077261,3326291,8371571,8345234,858477
1992:Q2,2067086,3307514,8420358,8434168,874264
1992:Q3,2095506,3330790,8531711,8588541,939173
1992:Q4,2223453,3467708,8719875,8724002,953495
1993:Q1,2332154,3552167,8842970,8775658,909705
1993:Q2,2383554,3604217,8895280,8880586,926870
1993:Q3,2467299,3698289,8987163,9014592,938442
1993:Q4,2580428,3809863,9093173,9123842,935235
1994:Q1,2642915,3842580,9121512,9187096,898954
1994:Q2,2704530,3889734,9135610,9264749,885121
1994:Q3,2782106,3967960,9199176,9386150,910631
1994:Q4,2877533,4031544,9203624,9417700,912048
1995:Q1,2980508,4148531,9346376,9549164,937541
1995:Q2,3080944,4288044,9418020,9739825,985568
1995:Q3,3221850,4442192,9453074,9791490,1016349
1995:Q4,3324802,4561582,9721034,9979412,1012561
1996:Q1,3367810,4631226,9937553,10184123,1007049
1996:Q2,3412591,4704203,10098958,10354074,1013373
1996:Q3,3405635,4726721,10225115,10486497,1026183
1996:Q4,3511597,4832538,10509415,10656245,1022005
1997:Q1,3482188,4842883,10638388,10754492,1034273
1997:Q2,3678800,5097537,11132572,11088456,1072541
1997:Q3,3807103,5274690,11494204,11350215,1102993
1997:Q4,3890626,5366988,11727936,11469126,1092858
1998:Q1,4129462,5669055,12321843,11866248,1156195
1998:Q2,4207409,5791638,12589518,12080559,1152592
1998:Q3,3981325,5585243,12356600,12067900,1210528
1998:Q4,4283431,6037168,13175874,12481390,1208096
1999:Q1,4217245,6093490,13297823,12635215,1248172
1999:Q2,4346383,6340106,13745187,12915805,1231118
1999:Q3,4256001,6306247,13729946,13003216,1243644
1999:Q4,4655228,6843037,14701910,13501767,1298061
2000:Q1,4712786,7060899,15103806,13906671,1342436
2000:Q2,4585270,7030249,15094500,14068564,1346974
2000:Q3,4587624,7119859,15286869,14331248,1373690
2000:Q4,4382900,6934623,15096828,14399066,1325934
2001:Q1,4189188,6822416,14975342,14669253,1336843
2001:Q2,4324182,7059275,15470939,15057965,1335259
2001:Q3,4069358,6748740,15087189,14999439,1314879
2001:Q4,4262386,7089700,15727556,15397196,1299483
2002:Q1,4283324,7205982,15976962,15625461,1314931
2002:Q2,4154261,7101260,15787370,15507489,1280233
2002:Q3,3900653,6821931,15382254,15363099,1267889
2002:Q4,3961679,7007446,15711330,15635256,1274867
2003:Q1,3915986,7003828,15837826,15757618,1230328
2003:Q2,4226294,7379741,16626841,16157693,1193439
2003:Q3,4335625,7588792,16973498,16349801,1222100
2003:Q4,4621262,7989954,17677506,16774680,1238512
2004:Q1,5072781,8485862,18495157,17359701,1264158
2004:Q2,5139444,8611914,18782202,17632721,1304884
2004:Q3,5324560,8862110,19215276,17942728,1287595
2004:Q4,5661017,9216571,20047345,18516414,1331374
2005:Q1,5732211,9311980,20410784,18795729,1356006
2005:Q2,5995086,9568312,21031437,19109233,1366476
2005:Q3,6233834,9840200,21661325,19513399,1433445
2005:Q4,6399197,10032754,22156018,19912020,1497774
2006:Q1,6839186,10470885,22920203,20071177,1466185
2006:Q2,6843305,10427423,23049608,20134239,1466268
2006:Q3,7040770,10622050,23490881,20329009,1457439
2006:Q4,7306991,10898769,24066948,20540970,1435360
2007:Q1,7579361,11137256,24511101,20566529,1382037
2007:Q2,7752704,11239696,24910263,20564092,1335774
2007:Q3,7977298,11396831,25288307,20620633,1286094
2007:Q4,7797982,11203671,25181429,20484191,1077728
2008:Q1,7441833,10837453,24626074,20043505,909819
2008:Q2,7227788,10701777,24278003,19702359,906667
2008:Q3,6781344,10273910,23529034,19229207,693866
2008:Q4,6147422,9773930,22354776,18670389,560666
2009:Q1,5802464,9506551,21756086,18290902,403617
2009:Q2,5823823,9732055,22142930,18294946,409021
2009:Q3,6185750,10185742,22935217,18502220,374797
2009:Q4,6153762,10249052,23121155,18527520,323027
2010:Q1,6348725,10502010,23620759,18746784,309712
2010:Q2,6232399,10328846,23453753,18531080,283669
2010:Q3,6582538,10760317,24336388,18841495,307261
2010:Q4,6901873,11109972,25003481,19153693,227832
2011:Q1,7156169,11373594,25373002,19323310,236849
2011:Q2,7261995,11432344,25523954,19426030,262252
2011:Q3,6904391,10962212,24707359,19195606,264730
2011:Q4,7153808,11247477,25167210,19476420,251424
2012:Q1,7545067,11684604,25901488,19811144,276760
2012:Q2,7577083,11634191,25861585,19860770,350536
2012:Q3,7939825,11992525,26496011,20304093,382769
2012:Q4,8053543,12103999,26752268,20568565,463234
2013:Q1,8518050,12607681,27845095,21260404,449810
2013:Q2,8627124,12677957,28260965,21625270,542245
2013:Q3,8993834,13062791,29098708,22289259,642737
2013:Q4,9276314,13464774,29955904,22759468,641208
2014:Q1,9601331,13886514,30664102,23056953,683859
2014:Q2,9979806,14356249,31426879,23394117,780330
2014:Q3,10039249,14456296,31676959,23546605,813196
2014:Q4,10301803,14804601,32236654,23762064,811958
2015:Q1,10546893,15115903,32826150,24093313,860293
2015:Q2,10670581,15279403,33139774,24209125,888528
2015:Q3,10403326,15030500,32770638,24123128,891016
2015:Q4,10607666,15332614,33315183,24486935,978547
2016:Q1,10756436,15538557,33786719,24761792,1009098
2016:Q2,11046539,15882297,34416507,25070333,1012518
2016:Q3,11250588,16190688,34905522,25484401,1129438
2016:Q4,11203559,16284307,35158438,25765323,1133975
2017:Q1,11494861,16731221,36098730,26345131,1210555
2017:Q2,11763942,17098189,36862380,26738665,1290737
2017:Q3,11909221,17407020,37538208,27193060,1346795
2017:Q4,12241711,17920468,38472087,27725163,1404996
2018:Q1,12239369,18055850,38887162,28147636,1497250
2018:Q2,12367791,18307120,39477098,28426343,1577661
2018:Q3,12651902,18749496,40332114,28832734,1609978
2018:Q4,11660764,17788250,38956322,28404162,1588083
2019:Q1,12736903,19114784,41308480,29548809,1696661
2019:Q2,13033474,19525118,42173258,29979869,1744983
2019:Q3,12957790,19573658,42437890,30249378,1874242
2019:Q4,13624543,20099542,43465560,31317411,1956074
2020:Q1,12183779,18172495,40867921,30956501,1952576
2020:Q2,13652143,19652742,43435028,32880252,2273260
2020:Q3,14499346,20365693,44766599,34084510,2449066
2020:Q4,16088911,21906920,47435478,35985687,2722746
2021:Q1,17001028,22710722,48857377,37471138,2966563
2021:Q2,18189118,23784563,50925663,39248743,3136395
2021:Q3,18704651,24071186,51741827,40498534,3282918
2021:Q4,19405743,24561551,52799445,41643631,3423879
2022:Q1,19405833,24350937,52963458,43365091,3659092
2022:Q2,18012221,22565989,50431474,43238262,3725449
2022:Q3,17653206,21880303,49005881,42346303,3578000
2022:Q4,18026679,22284350,49443751,42125539,3452139
2023:Q1,18635618,22996419,50682309,42629840,3554191
2023:Q2,19364206,23875633,52458362,44290667,3657772
2023:Q3,18987806,23494070,51952034,44161860,3606462
2023:Q4,19794978,24437522,53492306,44811120,3628532
2024:Q1,20607928,25480581,55425401,46417151,3783089
2024:Q2,20866484,25838143,56307717,47549958,3824129
